iter	RMSE
124	0.04340477771
125	0.04316769825
126	0.04296211672
127	0.04258441341
128	0.04237891656
129	0.04213286513
130	0.04195375949
131	0.04171506481
132	0.0414743108
133	0.04131077067
134	0.04115083937
135	0.04092662129
136	0.04063253485
137	0.04046092067
138	0.04030999818
139	0.04008266401
140	0.03979628948
141	0.03959110452
142	0.03944102432
143	0.03915578601
144	0.0389189165
145	0.03872710558
146	0.03858949984
147	0.0384120106
148	0.03829248548
149	0.03816330864
150	0.03803029257
151	0.03786199519
152	0.03761172241
153	0.03748334387
154	0.03729621564
155	0.03713716287
156	0.03703661316
157	0.03694330779
158	0.03675720754
159	0.0366738779
160	0.03656392449
161	0.03641996001
162	0.03628611182
163	0.03611360613
164	0.0360215901
165	0.03593898666
166	0.03583261117
167	0.03572287847
168	0.03563847798
169	0.03552994628
170	0.03542856133
171	0.03532501529
172	0.03524596628
173	0.03510607356
174	0.03498769044
175	0.03490132054
176	0.03479285522
177	0.03470962834
178	0.03452968071
179	0.03445128971
180	0.03437563927
181	0.03429735148
182	0.03421691452
183	0.03413999139
184	0.03399805458
185	0.0339371218
186	0.03385145185
187	0.03378108089
188	0.03371477463
189	0.03360236681
190	0.03351094033
191	0.03345516249
192	0.03338736121
193	0.03326907089
194	0.03313079836
195	0.03297598215
196	0.03290432449
197	0.03286579236
198	0.0327855613
199	0.03272990951
200	0.03260222346
201	0.03252420052
202	0.03240768639
203	0.03236004459
204	0.03224745009
205	0.03217315483
206	0.03209404663
207	0.03202045559
208	0.03197198604
209	0.03191548356
210	0.03182174488
211	0.03177258479
212	0.03168379992
213	0.03163326774
214	0.03159460701
215	0.03157617045
216	0.03155912472
217	0.03140575861
218	0.0313433843
219	0.03123598289
220	0.03109625738
221	0.03102063659
222	0.03096705345
223	0.03095204464
224	0.03091203777
225	0.03084952883
226	0.03082440377
227	0.03071735384
228	0.03057555769
229	0.03051699209
230	0.03042728631
231	0.03038093317
232	0.03032331418
233	0.03019948706
234	0.03016439134
235	0.03014313691
236	0.03003927202
237	0.02996450969
238	0.02990758111
239	0.02985772938
240	0.02977370538
241	0.02965095012
242	0.02959418497
243	0.0295431534
244	0.02948885212
245	0.02946850484
246	0.02940881428
247	0.02935516678
248	0.02932851842
249	0.02923667644
250	0.02918412466
251	0.02915702477
252	0.02908062391
253	0.02904263838
254	0.0289508984
255	0.02891156925
256	0.02886078451
257	0.02877771503
258	0.02872447958
259	0.02867587081
260	0.02854431097
261	0.0285008159
262	0.02842969974
263	0.02840094512
264	0.02828743736
265	0.02824239585
266	0.02819786549
267	0.02812182429
268	0.02802315513
269	0.02794654654
270	0.02790403786
271	0.02788770927
272	0.02779739382
273	0.02778621971
274	0.02774614454
275	0.02773445507
276	0.02767118787
277	0.02761970605
278	0.02756756435
279	0.02747333324
280	0.027460122
281	0.02734568237
282	0.02733450149
283	0.02728620485
284	0.0272480283
285	0.02720966436
286	0.0271676892
287	0.02708972035
288	0.02698299036
289	0.02694088701
290	0.02685950744
291	0.02683962909
292	0.02682981304
293	0.02678857902
294	0.02673311728
295	0.02666565619
296	0.02661054939
297	0.0265179451
298	0.02648108629
299	0.02645324849
300	0.02643982981
301	0.02637719343
302	0.0263249426
303	0.02624393613
304	0.02623159039
305	0.02615308571
306	0.02613575232
307	0.02610883943
308	0.02607139856
309	0.02603700599
310	0.0260284102
311	0.02599979926
312	0.02595847102
313	0.02591836206
314	0.0258709553
315	0.02581738939
316	0.0257428969
317	0.0257053958
318	0.02566580882
319	0.02562720693
320	0.02559242183
321	0.02558017718
322	0.02549310656
323	0.02543191565
324	0.02540175107
325	0.02537977772
326	0.02531121059
327	0.02527548282
328	0.0252407029
329	0.02517318816
330	0.02513914527
331	0.02510723916
332	0.0250258489
333	0.02498417634
334	0.02492033609
335	0.02488557718
336	0.0248181866
337	0.02478650615
338	0.02477337485
339	0.02474661098
340	0.02471067063
341	0.02468013169
342	0.02465287708
343	0.02456920106
344	0.02453975035
345	0.0244578462
346	0.02443192996
347	0.02438062809
348	0.02432691392
349	0.02429880843
350	0.02427142303
351	0.02421047099
352	0.02418370261
353	0.02414498059
354	0.02411096597
355	0.02405939909
356	0.02399621333
357	0.02398129334
358	0.02390478671
359	0.02387136427
360	0.0238411346
361	0.02381894698
362	0.02380309578
363	0.02374854868
364	0.02370310199
365	0.02364824428
366	0.02364118514
367	0.02358018903
368	0.02357201879
369	0.0235655707
370	0.02349936661
371	0.02347404755
372	0.02342235506
373	0.02338665837
374	0.02334386699
375	0.02330302218
376	0.02327814568
377	0.02323870572
378	0.02321806293
379	0.02317041583
380	0.02314595826
381	0.02310105314
382	0.02308652413
383	0.02308043006
384	0.02305651143
385	0.02293576612
386	0.02292673538
387	0.02287782539
388	0.02278567178
389	0.02277331261
390	0.02275371124
391	0.02274657091
392	0.02265274535
393	0.02262433451
394	0.02254460305
395	0.02252232463
396	0.02249979324
397	0.02242533495
398	0.02240762576
399	0.02232865471
400	0.0222532752
401	0.02220982107
402	0.02219079967
403	0.02218480341
404	0.02215033913
405	0.02210664147
406	0.02202969087
407	0.02199303598
408	0.02198664521
409	0.02191608723
410	0.02189904475
411	0.02189264054
412	0.02186280929
413	0.02182507478
414	0.02177813379
415	0.02168591525
416	0.02166813694
417	0.02165415696
418	0.0216352546
419	0.02163057822
420	0.0215611938
421	0.02154564848
422	0.0214988628
423	0.02148235883
424	0.02147646277
425	0.02146133452
426	0.02142385074
427	0.02137981778
428	0.02130409309
429	0.02129880802
430	0.02126947845
431	0.02126438995
432	0.02120056896
433	0.02117319173
434	0.02110850523
435	0.02104291734
436	0.02103794602
437	0.02100366782
438	0.02094434224
439	0.02092751247
440	0.02090466061
441	0.02086835469
442	0.02081730674
443	0.02074849536
444	0.0206783182
445	0.02063428176
446	0.02060512148
447	0.02055056442
448	0.02053997556
449	0.02050743358
450	0.02046874139
451	0.02040581951
452	0.02036775936
453	0.02031003093
454	0.02027127407
455	0.02023369274
456	0.02019751798
457	0.02016167741
458	0.02010509015
459	0.02008995763
460	0.02008491078
461	0.02004228454
462	0.02000090721
463	0.01998111558
464	0.0199640475
465	0.01990440494
466	0.01988768077
467	0.01988333882
468	0.01987094886
469	0.01985464517
470	0.01981635617
471	0.01979718051
472	0.01979230769
473	0.01976314203
474	0.0197473697
475	0.01970861474
476	0.01967517101
477	0.01962247673
478	0.01959271588
479	0.01952584051
480	0.0195224424
481	0.0194869456
482	0.01948365848
483	0.01945438724
484	0.0193918456
485	0.01938008802
486	0.01937634873
487	0.01934794378
488	0.01933658347
489	0.01932025248
490	0.01930996255
491	0.01930575902
492	0.01929390957
493	0.01926273251
494	0.01922812633
495	0.01918923931
496	0.01914259464
497	0.01913333478
498	0.0191006964
499	0.01908445019
500	0.01907122825
501	0.01903311378
502	0.01900547139
503	0.01898711117
504	0.01894512861
505	0.01894084405
506	0.01891333826
507	0.01888357946
508	0.01885570794
509	0.01884286052
510	0.01883208292
511	0.01881963198
512	0.01877723019
513	0.01875618599
514	0.0187363196
515	0.01871984422
516	0.01871579189
517	0.01870340883
518	0.01867501904
519	0.01865243937
520	0.01860963416
521	0.01859428555
522	0.01856845702
523	0.01855259015
524	0.01854883014
525	0.01853422598
526	0.01851583996
527	0.01849910184
528	0.01846101292
529	0.018426602
530	0.018386336
531	0.01834164355
532	0.01831182916
533	0.01827537641
534	0.01823632348
535	0.01820834165
536	0.01818951117
537	0.01817581056
538	0.01816315007
539	0.0181591946
540	0.01814684826
541	0.0181230575
542	0.01808203039
543	0.01806843577
544	0.01805970607
545	0.01803785028
546	0.01802891433
547	0.0180045271
548	0.01797331155
549	0.01795161403
550	0.01792066729
551	0.01788491071
552	0.01787317402
553	0.01783865894
554	0.01782304911
555	0.01778414119
556	0.01777275156
557	0.01773625496
558	0.01771733379
559	0.0176931597
560	0.01768219817
561	0.01767151629
562	0.01765153939
563	0.01763366228
564	0.01760728253
565	0.01756936406
566	0.01753385488
567	0.01750934127
568	0.01748887502
569	0.01748034296
570	0.01745434838
571	0.01742530392
572	0.01739090787
573	0.01737945305
574	0.01736023058
575	0.01734389275
576	0.01731906602
577	0.01727674602
578	0.01725456272
579	0.01723241296
580	0.01722498688
581	0.01719192244
582	0.01715193906
583	0.01709934174
584	0.01706830952
585	0.01704682698
586	0.01702386165
587	0.017002779
588	0.01699297644
589	0.01698093284
590	0.01697362825
591	0.01695278893
592	0.01692395182
593	0.01689062634
594	0.01688376235
595	0.01687673943
596	0.01686865615
597	0.01684867757
598	0.01683986538
599	0.01682228431
600	0.01680390166
601	0.01678411966
602	0.01678332516
603	0.01678255038
604	0.01676139545
605	0.01676063832
606	0.01673481842
607	0.01671352698
608	0.01670127144
609	0.01668203333
610	0.01666411136
611	0.01666117654
612	0.01665834657
613	0.01662917538
614	0.01661382338
615	0.01660685315
616	0.01660411857
617	0.01658469822
618	0.01656426604
619	0.01653712477
620	0.01651877503
621	0.01650018732
622	0.01648838962
623	0.01646067716
624	0.01645405874
625	0.0164307873
626	0.01640391235
627	0.01636121042
628	0.01635409724
629	0.01634834832
630	0.01630883196
631	0.01630637532
632	0.01630027867
633	0.01627509307
634	0.01624705814
635	0.01624465347
636	0.01624233749
637	0.01622572855
638	0.01622348823
639	0.01622133089
640	0.01621575112
641	0.01619859631
642	0.0161814574
643	0.01616132583
644	0.01615438487
645	0.01613927034
646	0.0161152518
647	0.01609551367
648	0.01607884051
649	0.0160693199
650	0.01603697317
651	0.01601990877
652	0.01600440722
653	0.01598591281
654	0.01596823714
655	0.01595400448
656	0.01593024384
657	0.01592735799
658	0.01592106434
659	0.01589620587
660	0.0158905709
661	0.01587276447
662	0.01586305854
663	0.01584612683
664	0.01581712691
665	0.0158058542
666	0.01580061121
667	0.01576433936
668	0.01575655447
669	0.01574774482
670	0.0157319031
671	0.01571248637
672	0.01569865761
673	0.01568085913
674	0.01566105607
675	0.0156545033
676	0.01563718655
677	0.01562366683
678	0.01561597637
679	0.01558251381
680	0.01556819816
681	0.01555738019
682	0.0155465802
683	0.0155455395
684	0.01553673561
685	0.01552842598
686	0.01551408145
687	0.01548312937
688	0.01548212714
689	0.01548116141
690	0.01547377591
691	0.01546446552
692	0.01545634869
693	0.01545464543
694	0.01544889537
695	0.01543216878
696	0.0154305259
697	0.01538955401
698	0.01537845758
699	0.01536453423
700	0.01535680947
701	0.01534927918
702	0.01533859353
703	0.01531017198
704	0.01528934981
705	0.01528191033
706	0.01527466154
707	0.01526759667
708	0.0152498691
709	0.01523481894
710	0.01521147433
711	0.0152016607
712	0.015191694
713	0.01517639895
714	0.01516216073
715	0.01515579634
716	0.01513780002
717	0.01513623431
718	0.01512608776
719	0.01511717468
720	0.01511103771
721	0.01510508665
722	0.01509281493
723	0.01508636191
724	0.01507170187
725	0.01506009033
726	0.01505217971
727	0.01501365967
728	0.0149929735
729	0.01498678582
730	0.01498530238
731	0.0149838738
732	0.01497116059
733	0.01496169598
734	0.01494972371
735	0.01493993334
736	0.01491669054
737	0.014906963
738	0.01489626377
739	0.01488031116
740	0.01487142329
741	0.01485587888
742	0.01484918283
743	0.01484311838
744	0.01483239306
745	0.01482006892
746	0.01480991887
747	0.01480474725
748	0.01479573578
749	0.01478175875
750	0.01477398142
751	0.01475840532
752	0.01475337669
753	0.01475176906
754	0.01474151256
755	0.01472248917
756	0.01469596329
757	0.0146824232
758	0.01466538432
759	0.01465037272
760	0.01464542381
761	0.01463857242
762	0.01461758241
763	0.01460825033
764	0.01460328056
765	0.01457359792
766	0.01456529374
767	0.01454792902
768	0.01452711122
769	0.01451732846
770	0.01450889052
771	0.01450372366
772	0.01447986887
773	0.01447398784
774	0.01447281254
775	0.01447154963
776	0.01445130686
777	0.014446082
778	0.01443626331
779	0.01441802792
780	0.0144136113
781	0.01440737566
782	0.01440164019
783	0.01438071385
784	0.01437558355
785	0.01434756123
786	0.01434257873
787	0.01433861757
788	0.01432743549
789	0.01428472338
790	0.01428077451
791	0.01427541788
792	0.01426707763
793	0.01425491717
794	0.01425033497
795	0.01423440777
796	0.01422316275
797	0.01420908278
798	0.01420450105
799	0.01419533836
