iter	Passed	Remaining
399	28125	28125
400	28181	28041
401	28234	27953
402	28287	27865
403	28335	27773
404	28390	27689
405	28449	27608
406	28510	27529
407	28563	27443
408	28629	27369
409	28728	27327
410	28793	27252
411	28863	27181
412	28933	27112
413	29001	27040
414	29082	26979
415	29150	26908
416	29213	26831
417	29284	26762
418	29352	26690
419	29419	26618
420	29490	26548
421	29731	26631
422	29928	26673
423	30006	26609
424	30066	26529
425	30130	26452
426	30206	26386
427	30281	26319
428	30368	26262
429	30428	26182
430	30478	26094
431	30535	26012
432	30598	25934
433	30666	25861
434	30731	25785
435	30790	25705
436	30844	25621
437	30902	25540
438	30963	25462
439	31023	25383
440	31088	25308
441	31151	25231
442	31225	25163
443	31307	25102
444	31386	25038
445	31435	24951
446	31495	24872
447	31552	24790
448	31599	24702
449	31660	24624
450	31715	24542
451	31778	24466
452	31832	24383
453	31892	24305
454	31957	24231
455	32028	24161
456	32093	24087
457	32145	24003
458	32208	23928
459	32264	23847
460	32324	23769
461	32397	23701
462	32461	23627
463	32516	23546
464	32570	23464
465	32653	23404
466	32705	23321
467	32765	23244
468	32820	23163
469	32874	23082
470	32939	23008
471	33010	22939
472	33070	22862
473	33138	22791
474	33195	22712
475	33275	22649
476	33342	22577
477	33404	22502
478	33472	22431
479	33527	22351
480	33583	22272
481	33652	22202
482	33709	22123
483	33792	22062
484	33858	21990
485	33939	21927
486	33991	21847
487	34051	21770
488	34106	21691
489	34158	21610
490	34206	21527
491	34260	21447
492	34315	21368
493	34379	21295
494	34440	21221
495	34491	21139
496	34576	21079
497	34630	21000
498	34693	20927
499	34762	20857
500	34814	20777
501	34868	20698
502	34929	20624
503	34990	20550
504	35046	20472
505	35098	20393
506	35224	20356
507	35304	20293
508	35510	20301
509	35773	20341
510	35906	20306
511	35980	20239
512	36106	20199
513	36195	20140
514	36255	20063
515	36338	20000
516	36401	19925
517	36470	19854
518	36551	19790
519	36699	19761
520	36821	19718
521	36885	19643
522	36946	19568
523	37001	19489
524	37050	19407
525	37122	19337
526	37182	19261
527	37237	19183
528	37287	19101
529	37337	19020
530	37391	18942
531	37465	18873
532	37530	18800
533	37601	18730
534	37667	18657
535	37753	18595
536	37865	18544
537	37954	18483
538	38029	18415
539	38096	18342
540	38152	18265
541	38201	18184
542	38307	18131
543	38371	18057
544	38424	17978
