mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,param_bagging_freq,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,rmse
99.35659344991048,1.3189389832412843,3.1558945178985596,0.08829260672066604,0.7,100,800,8,0.05,5,"{'subsample': 0.7, 'num_leaves': 100, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.03381930382199523,-0.025080128147497542,-0.04160828493596834,-0.033502572301820376,0.006751307569548906,3,0.033502572301820376
45.89945936203003,4.508730077960887,1.4219151337941487,0.4582700463602778,0.7,31,300,8,0.05,5,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.034992875399343225,-0.025591568196851863,-0.04327363276403848,-0.03461935878674452,0.007223502743796553,8,0.03461935878674452
69.68822701772054,0.7136460751589594,1.327713410059611,0.035067626411524125,0.9,31,300,10,0.05,5,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.034717352963530054,-0.02429174079382373,-0.04209811393546297,-0.03370240256427225,0.007304762115658433,6,0.03370240256427225
75.4868392944336,3.251485843455747,3.3252065976460776,0.3659076834234152,0.7,31,500,8,0.03,5,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.03, 'bagging_freq': 5}",-0.03400683590326489,-0.024550922078732083,-0.041500898514447555,-0.03335288549881484,0.006935231966389095,2,0.03335288549881484
105.72813010215759,10.45653470145134,3.2401429812113443,0.31171282977990106,0.7,31,800,12,0.05,5,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 800, 'max_depth': 12, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.0339567583379583,-0.024503627299566816,-0.041493491097348734,-0.03331795891162462,0.006950775328316898,1,0.03331795891162462
69.59492214520772,2.7188758570485816,2.6157596906026206,0.27900015438860176,0.7,31,800,8,0.05,5,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.03361782357855773,-0.025473660901423802,-0.041673702252613326,-0.03358839557753162,0.006613671922641054,4,0.03358839557753162
31.493783235549927,0.8931866417078993,1.0405783653259277,0.05286407711242141,0.7,50,300,8,0.1,5,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'bagging_freq': 5}",-0.036547393737099323,-0.027032613836398166,-0.04375889552624016,-0.035779634366579216,0.006850022658368948,10,0.035779634366579216
118.36008175214131,0.9140636015829121,2.12348739306132,0.10427210516449062,0.8,100,300,-1,0.05,5,"{'subsample': 0.8, 'num_leaves': 100, 'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.034811264099198345,-0.02348148080032006,-0.042694271543709784,-0.033662338814409394,0.007885550245854375,5,0.033662338814409394
113.96405863761902,8.659834796588525,3.207661787668864,0.7755913431740562,0.9,50,800,10,0.1,5,"{'subsample': 0.9, 'num_leaves': 50, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.1, 'bagging_freq': 5}",-0.03669561025539493,-0.026087417240680828,-0.042019879631266015,-0.034934302375780595,0.006622562119600266,9,0.034934302375780595
49.51031072934469,5.298971803948845,1.4769751230875652,0.2135182972038706,0.7,31,500,10,0.05,5,"{'subsample': 0.7, 'num_leaves': 31, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.05, 'bagging_freq': 5}",-0.03462964782425044,-0.024626429664781836,-0.04196301333921883,-0.03373969694275037,0.007105551482411522,7,0.03373969694275037
