mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,rmse
123.16865706443787,0.08132098500345432,0.35512908299763996,0.045083567890936906,0.03,3,300,6,"{'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 6}",-0.03878618280590146,-0.028465094932010174,-0.043236768999251975,-0.03682934891238787,0.006187217352591208,9,0.03682934891238787
70.72975834210713,5.354260060108185,0.3964392344156901,0.17269190276515814,0.03,1,300,4,"{'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 300, 'depth': 4}",-0.04022191182123792,-0.031428095081043154,-0.04350946907573407,-0.03838649199267171,0.005100096329823517,10,0.03838649199267171
151.49155720074972,0.6141461104512717,0.2155428727467855,0.03463428650880234,0.05,3,800,4,"{'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 800, 'depth': 4}",-0.029086854220826564,-0.020641794419066037,-0.03461265525302765,-0.028113767964306747,0.005744934624371365,1,0.028113767964306747
99.5052216053009,6.682086487799293,0.22986674308776855,0.02366490724836295,0.05,3,300,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 6}",-0.03455904794744656,-0.02393978036330252,-0.03918930048973717,-0.03256270960016208,0.006383624420826712,5,0.03256270960016208
168.57395776112875,26.918342369234654,0.5538312594095866,0.12173254436385803,0.03,1,800,4,"{'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 800, 'depth': 4}",-0.030953985729196557,-0.02245605727090555,-0.03549909609944345,-0.029636379699848517,0.0054056932769761395,2,0.029636379699848517
130.4248238404592,20.653745858322385,0.5396848519643148,0.10195562743440238,0.05,1,300,6,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 300, 'depth': 6}",-0.03382850131566782,-0.02425809500780099,-0.039303221935974214,-0.03246327275314768,0.006217547632421827,4,0.03246327275314768
122.60184892018636,11.3642517114223,0.34351301193237305,0.06925116420460226,0.05,1,500,4,"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 4}",-0.03194731578642826,-0.02359338622496236,-0.03581620175418216,-0.03045230125519093,0.005100693168697255,3,0.03045230125519093
488.3751109441121,13.326604807977732,1.3839673201243083,0.7180383110296377,0.05,5,500,8,"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 500, 'depth': 8}",-0.033094454267407064,-0.024575962971080865,-0.041999617249426184,-0.0332233448293047,0.0071137609221159056,6,0.0332233448293047
117.12138160069783,43.0946506335176,0.436294158299764,0.04320704860718125,0.05,3,300,4,"{'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 4}",-0.037439199105079916,-0.02865611235521558,-0.039577812140800986,-0.03522437453369883,0.004725813331276719,8,0.03522437453369883
92.82440217336018,16.29455687509499,0.17234555880228677,0.06257526825736844,0.03,3,500,4,"{'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 4}",-0.03573937886418036,-0.026728783689079397,-0.039021817475428176,-0.03382999334289598,0.0051970494654657,7,0.03382999334289598
